OID,FID_,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
0,0,2483,0.04310764,0,61.04000092,61.04000092,1.883975024,3.52948814,4677.909984
1,1,8735,0.151649308,0,16.87000084,16.87000084,0.530307955,1.034563231,4632.23999
2,2,9281,0.161128475,0,7.809999943,7.809999943,0.219409546,0.331858927,2036.339998
3,3,12694,0.220381948,0,2.900000095,2.900000095,0.190352135,0.188353577,2416.330001
4,4,10958,0.190243059,0,2.440000057,2.440000057,0.196877168,0.191281053,2157.380002
5,5,8965,0.155642364,0,7.289999962,7.289999962,0.412060234,0.537976259,3694.119996
6,6,7191,0.124843752,0,9,9,0.310337923,0.633059499,2231.640002
7,7,12974,0.225243059,0,1.919999957,1.919999957,0.146613226,0.137111739,1902.16
8,8,10220,0.177430558,0,16.18000031,16.18000031,0.325902153,0.390784096,3330.720001
9,9,2209,0.038350695,0,60.25999832,60.25999832,10.00455409,11.24166992,22100.05998
10,10,8280,0.143750002,0,12.27000046,12.27000046,0.382061594,0.742641434,3163.470002
11,11,13513,0.234600698,0,55.29999924,55.29999924,0.632302227,2.227812631,8544.299997
12,12,8847,0.153593752,0,26.56999969,26.56999969,0.504678421,1.445126005,4464.889994
13,13,12611,0.218940976,0,4.840000153,4.840000153,0.194666561,0.275465894,2454.939999
14,14,11808,0.205000003,0,9.949999809,9.949999809,0.324560467,0.533089336,3832.409998
15,15,11529,0.200156253,0,11.72000027,11.72000027,0.288179374,0.662710949,3322.420002
16,16,12017,0.208628476,0,46.52000046,46.52000046,0.609019722,2.574158148,7318.589997
17,17,11245,0.195225698,0,22.30999947,22.30999947,0.507711872,1.514808227,5709.219999
18,18,5771,0.100190974,0,74.79000092,74.79000092,0.714945415,3.836546741,4125.949989
19,19,8491,0.147413197,0,36.52999878,36.52999878,0.81138735,2.128513464,6889.489986
20,20,12885,0.22369792,0,15.40999985,15.40999985,0.277074117,0.646356438,3570.099999
21,21,13189,0.228975698,0,50.02000046,50.02000046,0.688408523,2.303003247,9079.420007
22,22,17421,0.302447922,0,28.37000084,28.37000084,0.293514724,0.747291063,5113.320002
23,23,13872,0.240833337,0,38.90999985,38.90999985,0.520214821,1.409360144,7216.419995
24,24,6464,0.112222224,0,20.02000046,20.02000046,0.338845916,0.817674988,2190.3
25,25,7948,0.137986113,0,20.43000031,20.43000031,0.198943131,0.341493163,1581.200001
26,26,7635,0.132552085,0,81.43000031,81.43000031,2.491257365,7.010144386,19020.74998
27,27,16701,0.289947921,0,54.06999969,54.06999969,0.364352434,1.417032282,6085.049993
28,28,10872,0.188750003,0,27.61000061,27.61000061,0.524753495,1.123198443,5705.119996
29,29,13121,0.227795143,0,81.79000092,81.79000092,0.562983765,3.197268113,7386.909985
30,30,8266,0.143506947,0,31.07999992,31.07999992,0.669640696,1.939480538,5535.249997
31,31,8708,0.151180558,0,8.899999619,8.899999619,0.154002067,0.320363867,1341.049998
32,32,9719,0.168732642,0,91.18000031,91.18000031,0.761000103,3.499295812,7396.159997
33,33,10780,0.187152781,0,22.06999969,22.06999969,0.392194805,0.984076968,4227.859997
34,34,10006,0.173715281,0,33.66999817,33.66999817,1.410643614,3.398583151,14114.9
35,35,3581,0.06217014,0,48.11999893,48.11999893,1.181267804,3.714971427,4230.120005
36,36,10270,0.178298614,0,45.81999969,45.81999969,0.424903602,1.523827773,4363.759995
37,37,10358,0.179826392,0,26.27000046,26.27000046,0.469319368,1.485366023,4861.21001
38,38,11041,0.191684031,0,17.61000061,17.61000061,0.224693416,0.83026937,2480.840001
39,39,13087,0.227204865,0,61.52999878,61.52999878,0.952140291,3.664721382,12460.65999
40,40,12497,0.216961809,0,48.95000076,48.95000076,0.831029048,3.072216995,10385.37002
41,41,12726,0.220937504,0,272.1300049,272.1300049,2.583120381,8.549207372,32872.78997
42,42,2847,0.049427084,0,113.2699966,113.2699966,10.48524762,15.34365113,29851.49997
43,43,1586,0.027534723,0.159999996,58.52000046,58.36000046,4.545680945,6.6980575,7209.449979
44,44,13504,0.234444448,0,48.65000153,48.65000153,0.799225415,2.361190785,10792.74
45,45,5985,0.103906252,0,11.11999989,11.11999989,0.202213868,0.442598043,1210.25
46,46,5789,0.100503474,0,93.26999664,93.26999664,1.091856967,3.355777205,6320.759982
47,47,11844,0.205625003,0,28.29999924,28.29999924,0.205243161,0.330330388,2430.900001
48,48,13380,0.23229167,0,17.03000069,17.03000069,0.248077728,0.414053445,3319.280003
49,49,8519,0.147899308,0,2.930000067,2.930000067,0.19848339,0.142963374,1690.880001
50,50,2900,0.050347223,0,18.92000008,18.92000008,0.529841379,1.034658284,1536.539999
51,51,11224,0.194861114,0,6.389999866,6.389999866,0.212065217,0.243322534,2380.220001
52,52,4513,0.078350696,0,20.04000092,20.04000092,0.230782186,0.626215615,1041.520004
53,53,20959,0.363871534,0,16.80999947,16.80999947,0.308601555,0.660504987,6467.98
54,54,11123,0.193107642,0,53.29999924,53.29999924,0.353348017,1.594140785,3930.289994
55,55,21448,0.372361117,0,20.45000076,20.45000076,0.26045552,0.525074879,5586.249998
56,56,19506,0.338645839,0,94.19000244,94.19000244,0.689065417,2.3005289,13440.91002
57,57,16313,0.28321181,0,14.32999992,14.32999992,0.226459879,0.542094019,3694.240001
58,58,11501,0.199670142,0,34.56000137,34.56000137,0.428895748,1.323472517,4932.729996
59,59,8126,0.141076391,0,34.74000168,34.74000168,1.814924935,3.738447958,14748.08002
60,60,1653,0.028697917,0,62.02000046,62.02000046,5.923768921,7.167951389,9791.990026
61,61,6753,0.117239585,0.07,19.20999908,19.13999908,0.585014068,1.441527468,3950.599999
62,62,11793,0.204739587,0,16.44000053,16.44000053,0.347209362,0.807640416,4094.640002
63,63,10426,0.181006947,0,10.75,10.75,0.289522348,0.489421005,3018.560001
64,64,10641,0.184739586,0.07,10.46000004,10.39000004,0.477325439,0.558946148,5079.220001
65,65,16492,0.286319449,0,59.20000076,59.20000076,1.143119694,3.620793334,18852.32999
66,66,5627,0.097690974,0,33.83000183,33.83000183,1.723102896,3.239317651,9695.899997
67,67,4971,0.086302085,0,43.25999832,43.25999832,1.809309995,3.520955349,8994.079987
68,68,6864,0.119166669,0,35.20000076,35.20000076,0.724460957,2.127332403,4972.700012
69,69,6101,0.105920141,0,207.5800018,207.5800018,3.537880675,7.412586977,21584.61
70,70,11616,0.20166667,0,35.63999939,35.63999939,0.535298727,1.883939553,6218.030009
71,71,4746,0.082395835,0,2.230000019,2.230000019,0.200663717,0.136322949,952.3500011
