OID,FID_,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
0,0,2483,0.04310764,0.129999995,61.04999924,60.91999924,4.988260174,8.069950878,12385.85001
1,1,8735,0.151649308,0.109999999,37.59999847,37.48999847,0.829464225,2.449913651,7245.370002
2,2,9281,0.161128475,0.039999999,22.45999908,22.41999909,0.423666631,1.309676384,3932.050002
3,3,12694,0.220381948,0.059999999,23.79000092,23.73000092,0.334733733,0.875774401,4249.110002
4,4,10958,0.190243059,0.050000001,32.40999985,32.35999985,0.325255522,1.18766896,3564.150005
5,5,8965,0.155642364,0.050000001,54.97000122,54.92000122,0.797969882,2.972163042,7153.799995
6,6,7191,0.124843752,0.050000001,18.26000023,18.21000023,0.442340425,1.186590015,3180.869997
7,7,12974,0.225243059,0.029999999,19.04999924,19.01999924,0.256962386,0.695570048,3333.830002
8,8,10220,0.177430558,0.079999998,15.17000008,15.09000008,0.343020548,0.422044235,3505.67
9,9,2209,0.038350695,0.449999988,104.5299988,104.0799988,13.47145313,13.65760952,29758.43997
10,10,8280,0.143750002,0.150000006,37.15999985,37.00999984,0.727316424,2.22688974,6022.179994
11,11,13513,0.234600698,0.159999996,45.61999893,45.45999894,0.786917043,2.305208664,10633.61001
12,12,8847,0.153593752,0.129999995,34.68999863,34.55999863,0.663913189,1.838395516,5873.639987
13,13,12611,0.218940976,0.239999995,77.15000153,76.91000153,2.37764729,7.330285497,29984.50997
14,14,11808,0.205000003,0.200000003,47.61999893,47.41999893,1.016617546,3.184797215,12004.21999
15,15,11529,0.200156253,0.219999999,32.65000153,32.43000153,0.694277908,1.712182179,8004.33
16,16,12017,0.208628476,0.180000007,77.20999908,77.02999908,1.227028377,4.354300788,14745.20001
17,17,11245,0.195225698,0.150000006,53.22999954,53.07999954,1.325946643,4.018419467,14910.27
18,18,5771,0.100190974,0.159999996,41.29999924,41.13999924,1.094536475,2.754684772,6316.569995
19,19,8491,0.147413197,0.189999998,37.33000183,37.14000183,1.478304085,3.041347641,12552.27998
20,20,12885,0.22369792,0.100000001,70,69.9,1.175289096,4.253230151,15143.6
21,21,13189,0.228975698,0.129999995,39.43000031,39.30000031,0.914806278,2.328642372,12065.38
22,22,17421,0.302447922,0.039999999,27.65999985,27.61999985,0.337209116,0.909159146,5874.520003
23,23,13872,0.240833337,0.059999999,45.02999878,44.96999878,0.716908881,2.368441384,9944.959994
24,24,6464,0.112222224,0.07,37.68000031,37.6100003,0.616376857,1.946053622,3984.260002
25,25,7948,0.137986113,0.039999999,22.12999916,22.08999916,0.211090841,0.564211287,1677.750001
26,26,7635,0.132552085,0.129999995,88.56999969,88.4399997,3.450878849,8.312608943,26347.46001
27,27,16701,0.289947921,0.119999997,32.43000031,32.31000031,0.566215197,1.487032029,9456.36001
28,28,10872,0.188750003,0.150000006,41.47000122,41.32000121,0.947608535,2.395117378,10302.39999
29,29,13121,0.227795143,0.119999997,79.44000244,79.32000244,0.951262098,4.445866623,12481.50999
30,30,8266,0.143506947,0.119999997,53.22000122,53.10000122,1.244715701,3.19870396,10288.81999
31,31,8708,0.151180558,0.119999997,57.90999985,57.78999985,1.237411577,4.062892869,10775.38001
32,32,9719,0.168732642,0.119999997,73.55999756,73.43999756,1.063928388,3.584715471,10340.32
33,33,10780,0.187152781,0.159999996,35.93000031,35.77000031,0.951297774,2.594729575,10254.99
34,34,10006,0.173715281,0.230000004,62.34999847,62.11999847,2.87571257,6.793302732,28774.37997
35,35,3581,0.06217014,0.239999995,57.38000107,57.14000107,2.210120077,5.776470134,7914.439995
36,36,10270,0.178298614,0.200000003,63.84999847,63.64999847,1.152214217,3.394413792,11833.24001
37,37,10358,0.179826392,0.200000003,47.72000122,47.52000122,1.084556863,3.225253846,11233.83999
38,38,11041,0.191684031,0.180000007,59.84000015,59.66000015,1.089138663,3.196468675,12025.17998
39,39,13087,0.227204865,0.170000002,107.5999985,107.4299985,2.369399404,6.605839943,31008.33
40,40,12497,0.216961809,0.150000006,64.56999969,64.41999969,2.623352804,6.912641027,32784.04
41,41,12726,0.220937504,0.180000007,158.5299988,158.3499988,4.193970612,9.705057242,53372.47001
42,42,2847,0.049427084,0.449999988,90.83000183,90.38000184,21.88938531,17.99730638,62319.07999
43,43,1586,0.027534723,0.370000005,58.41999817,58.04999816,6.811002498,9.169230614,10802.24996
44,44,13504,0.234444448,0.159999996,723.1900024,723.0300024,1.637405211,12.40868904,22111.51997
45,45,5985,0.103906252,0.200000003,46.86999893,46.66999893,1.15484879,2.378165118,6911.770006
46,46,5789,0.100503474,0.200000003,48,47.8,2.843423735,4.817170228,16460.58
47,47,11844,0.205625003,0.02,8.220000267,8.200000267,0.191925026,0.33584481,2273.160006
48,48,13380,0.23229167,0.039999999,21.62000084,21.58000084,0.30773169,0.846227093,4117.450006
49,49,8519,0.147899308,0.02,8.010000229,7.990000229,0.224445358,0.303806265,1912.050003
50,50,2900,0.050347223,0.039999999,28.79999924,28.75999924,1.571513794,3.456830667,4557.390003
51,51,11224,0.194861114,0.029999999,7.670000076,7.640000077,0.219518888,0.335675935,2463.880003
52,52,4513,0.078350696,0.050000001,18.73999977,18.68999977,0.217511633,0.501639662,981.6300008
53,53,20959,0.363871534,0.119999997,78.12999725,78.00999726,0.706687341,2.821514529,14811.45999
54,54,11123,0.193107642,0.039999999,28.57999992,28.53999992,0.370430639,1.371639231,4120.299996
55,55,21448,0.372361117,0.02,40.61999893,40.59999893,0.407408617,1.671502884,8738.100008
56,56,19506,0.338645839,0.090000004,85.94999695,85.85999694,1.292843228,3.83173827,25218.2
57,57,16313,0.28321181,0.140000001,26.78000069,26.64000069,0.550637528,1.264403219,8982.550002
58,58,11501,0.199670142,0.059999999,29.29000092,29.23000092,0.549790453,1.536785566,6323.140002
59,59,8126,0.141076391,0.200000003,40.22000122,40.02000122,2.560031998,4.745732605,20802.82001
60,60,1653,0.028697917,0.610000014,205.9199982,205.3099982,12.12797943,13.90688258,20047.55
61,61,6753,0.117239585,0.180000007,27.07999992,26.89999992,0.906200207,2.259799518,6119.569996
62,62,11793,0.204739587,0.150000006,26.84000015,26.69000015,0.525694056,1.260258359,6199.510002
63,63,10426,0.181006947,0.159999996,42.97000122,42.81000122,0.738666795,2.356776689,7701.340008
64,64,10641,0.184739586,0.180000007,30.29000092,30.11000091,0.840965135,1.797651934,8948.709996
65,65,16492,0.286319449,0.150000006,51.81999969,51.66999969,1.381975503,3.622539859,22791.54
66,66,5627,0.097690974,0.180000007,68.40000153,68.22000152,3.025363424,5.742753662,17023.71999
67,67,4971,0.086302085,0,38.75999832,38.75999832,2.835437535,4.571737873,14094.95999
68,68,6864,0.119166669,0.07,43.97999954,43.90999954,1.229487181,3.173628259,8439.200007
69,69,6101,0.105920141,0.25999999,184.3399963,184.0799963,5.378478937,8.506545758,32814.1
70,70,11616,0.20166667,0.090000004,68.11000061,68.02000061,0.896398933,2.945292581,10412.57
71,71,4746,0.082395835,0.039999999,10.10999966,10.06999966,0.228190055,0.458115916,1082.99
72,72,10964,0.190347225,0.039999999,36.77000046,36.73000046,0.384288582,1.529573422,4213.340011
73,73,5750,0.09982639,0.029999999,17.19000053,17.16000053,0.326412174,0.952008741,1876.870003
74,74,6127,0.106371529,0.140000001,30.90999985,30.76999985,0.776892443,1.980769258,4760.019999
75,75,13113,0.227656254,0,35.66999817,35.66999817,0.627556623,2.205773895,8229.149998
76,76,14321,0.248628476,0.07,30.20999908,30.13999908,0.942642973,2.494108649,13499.59001
77,77,8260,0.14340278,0.479999989,189.3399963,188.8599963,25.24625059,17.38341099,208534.0299
78,78,8204,0.142430558,0.189999998,85.08000183,84.89000183,5.145765481,8.467434036,42215.86001
79,79,6130,0.106423613,0.689999998,104.2399979,103.5499979,7.906190862,9.861436116,48464.94999
80,80,12372,0.21479167,0.119999997,67.98000336,67.86000336,2.562820886,5.426746254,31707.22001
81,81,13019,0.226024309,0.059999999,61.59999847,61.53999848,1.235183194,4.21435883,16080.85
82,82,8608,0.149444447,0.100000001,43.20000076,43.10000076,1.194666588,4.00251557,10283.68999
83,83,13490,0.234201393,0.07,73.80999756,73.73999756,1.163957006,3.830612786,15701.78
84,84,5787,0.100468752,0.150000006,32.54999924,32.39999923,1.805954726,3.554252552,10451.06
85,85,6018,0.104479168,0.529999971,288.4899902,287.9599903,10.1252127,18.5215325,60933.53001
86,86,5770,0.100173613,0.899999976,95.59999847,94.6999985,9.582311954,11.56333418,55289.93997
87,87,12276,0.213125003,0.079999998,62.31999969,62.2399997,0.755193059,2.542899237,9270.749993
88,88,13758,0.23885417,0,53.63000107,53.63000107,2.711997384,5.604834898,37311.66001
89,89,5074,0.088090279,0.100000001,87.75,87.65,1.927644857,4.987801397,9780.870007
90,90,7616,0.132222224,0,128.7899933,128.7899933,1.394277834,4.0235376,10618.81999
91,91,18066,0.313645838,0,20.32999992,20.32999992,0.173910108,0.362640215,3141.860003
92,92,4986,0.086562501,0,76.75,76.75,9.390190531,9.449702839,46819.48999
93,93,7629,0.132447919,0.029999999,40.22999954,40.19999954,1.503716082,3.701625802,11471.84999
94,94,8160,0.141666669,0,29.01000023,29.01000023,0.459321078,1.52263032,3748.059995
95,95,15536,0.269722227,0,56.27999878,56.27999878,0.30145018,1.321568678,4683.33
96,96,22353,0.388072923,0,40.40999985,40.40999985,0.298200242,1.22196056,6665.669999
97,97,15769,0.273767365,0,69.48000336,69.48000336,0.70219418,2.257166819,11072.90002
98,98,12532,0.217569448,0,49.34000015,49.34000015,0.935541015,3.172279162,11724.2
99,99,10472,0.181805558,0,199.4100037,199.4100037,4.588597216,10.21864504,48051.79005
100,100,17068,0.296319449,0,54.79999924,54.79999924,0.965263652,2.93705342,16475.12001
101,101,21808,0.378611117,0,59.27999878,59.27999878,0.383014032,1.719475864,8352.769999
102,102,10170,0.176562503,0,51.25999832,51.25999832,0.468021632,1.919366916,4759.779993
103,103,13898,0.241284726,0,477.5400085,477.5400085,0.499379768,6.374316186,6940.380012
104,104,21024,0.365000006,0,21.23999977,21.23999977,0.205591705,0.551993853,4322.36
105,105,12858,0.22322917,0.01,50.15000153,50.14000153,0.481242806,1.94561384,6187.819998
106,106,14626,0.253923615,0,57.70999908,57.70999908,0.717645973,2.432811125,10496.29001
107,107,5830,0.101215279,0.050000001,42.33000183,42.28000183,0.967890221,3.09567913,5642.799986
108,108,16243,0.281996532,0,42.95999908,42.95999908,0.341788463,1.529534366,5551.669997
109,109,7225,0.12543403,0,54.61000061,54.61000061,1.29694948,4.337531317,9370.459991
110,110,8632,0.149861114,0,67.88999939,67.88999939,0.825150602,3.060034665,7122.699999
111,111,18853,0.327309033,0,19.37999916,19.37999916,0.485042699,1.385636518,9144.510006
112,112,15406,0.267465282,0.01,28.67000008,28.66000008,0.269581981,0.914678677,4153.180002
113,113,16223,0.28164931,0,48.04999924,48.04999924,0.330388954,1.373048681,5359.899999
114,114,21952,0.381111117,0,21.30999947,21.30999947,0.203832908,0.606535499,4474.540005
115,115,12961,0.225017365,0.02,79.80999756,79.78999756,0.505213331,2.903185394,6548.069989
116,116,8430,0.146354169,0.090000004,49.83000183,49.74000183,1.25211388,3.399723208,10555.32001
117,117,27393,0.475572924,0,34.99000168,34.99000168,0.227392035,0.854130536,6228.95001
118,118,19826,0.344201394,0,13.77000046,13.77000046,0.254723091,0.661068254,5050.140006
119,119,11861,0.205920142,0,38.47999954,38.47999954,0.336646995,1.185123448,3992.970009
120,120,3531,0.061302084,0.379999995,174.3200073,173.9400073,6.952308131,10.59843886,24548.60001
121,121,9948,0.172708336,0,77.91999817,77.91999817,2.992486931,5.543130377,29769.25999
122,122,5299,0.091996529,0.090000004,72.12000275,72.03000274,8.352353275,11.82860326,44259.12001
123,123,5889,0.102239585,0.079999998,58.18000031,58.10000031,1.92418577,3.875923696,11331.53
124,124,5486,0.095243057,0.07,45.93000031,45.8600003,1.042098067,2.535889136,5716.949994
125,125,10914,0.18947917,0.029999999,31.37999916,31.34999916,1.775569911,3.490242032,19378.57
126,126,7808,0.135555558,0.059999999,28.92000008,28.86000008,0.647001793,1.569378853,5051.789997
127,127,11594,0.201284725,0.02,21.38999939,21.36999939,0.412558219,0.903538311,4783.199995
128,128,16124,0.27993056,0,25.44000053,25.44000053,0.322020591,1.08401071,5192.260006
129,129,13499,0.234357643,0,26.26000023,26.26000023,0.384614416,1.210306291,5191.910003
130,130,13746,0.238645837,0,76.01000214,76.01000214,1.097141716,3.515219144,15081.31002
131,131,14685,0.254947921,0.029999999,50,49.97,0.661766428,2.244481614,9718.039999
132,132,13697,0.237795143,0,35.66999817,35.66999817,0.340787034,1.191165645,4667.759998
133,133,11645,0.202170142,0.059999999,24.52000046,24.46000046,0.588726492,1.476334954,6855.719999
134,134,15289,0.265434032,0,30.87000084,30.87000084,0.368549284,1.089010203,5634.750011
135,135,14819,0.25727431,0.029999999,54.86999893,54.83999893,0.567468115,2.596478712,8409.31
136,136,11972,0.207847226,0.029999999,38.09999847,38.06999847,0.283811393,1.264864772,3397.789997
137,137,21872,0.379722228,0,39.24000168,39.24000168,0.324405176,1.087106929,7095.390007
138,138,17949,0.311614588,0.029999999,38.68999863,38.65999863,0.496147418,1.883675391,8905.350003
139,139,13842,0.240312504,0.029999999,33.08000183,33.05000183,0.628313828,1.929936155,8697.120005
140,140,17941,0.311475699,0.039999999,17.54999924,17.50999924,0.247801684,0.687605436,4445.810007
141,141,14816,0.257222226,0.050000001,66.72000122,66.67000122,0.445371895,2.310685877,6598.629996
142,142,10361,0.179878475,0.039999999,26.85000038,26.81000038,0.383116494,1.391106294,3969.469999
143,143,5511,0.095677085,0.07,28.04999924,27.97999924,0.385812012,1.395673826,2126.209996
144,144,9228,0.160208336,0,17.38999939,17.38999939,0.266315562,0.657275093,2457.560002
145,145,9602,0.166701392,0,43.70000076,43.70000076,0.963652363,2.386101099,9252.989994
146,146,7801,0.13543403,0.02,67.83000183,67.81000183,1.50845917,4.08671884,11767.48998
147,147,12401,0.215295142,0,61.43999863,61.43999863,0.52857431,2.194317668,6554.850012
148,148,7492,0.130069447,0.02,78.41999817,78.39999817,1.916971436,6.334217348,14361.95
149,149,7815,0.135677086,0,78.04000092,78.04000092,0.333686501,1.884641783,2607.760002
150,150,7542,0.130937502,0,37.74000168,37.74000168,0.333835853,1.071288392,2517.790001
151,151,8183,0.142065974,0.01,64.62000275,64.61000275,0.674282047,2.571800879,5517.649988
152,152,2895,0.050260417,0.059999999,32.52000046,32.46000046,0.548265975,1.908763578,1587.229998
153,153,5497,0.095434029,0,64.43000031,64.43000031,0.541358922,2.644054785,2975.849995
154,154,9922,0.172256947,0.039999999,60.83000183,60.79000183,3.113450919,5.171024118,30891.66002
155,155,751,0.013038195,0.680000007,70.15000153,69.47000152,20.31051927,16.13202001,15253.19997
156,156,9505,0.165017364,0.029999999,51.63999939,51.60999939,1.600477643,4.099520888,15212.54
157,157,15007,0.260538199,0.039999999,76.48000336,76.44000336,1.206237755,3.115565443,18102.00999
158,158,11626,0.201840281,0.029999999,47.18000031,47.15000031,0.589835713,2.475487287,6857.430002
159,159,5050,0.087673613,0.319999993,83.58999634,83.26999635,6.454285147,7.940346277,32594.13999
160,160,3414,0.059270834,2.599999905,82.81999969,80.21999979,14.55487407,10.25959165,49690.34006
161,161,10108,0.175486114,0.180000007,48.90000153,48.72000152,3.131113968,4.526639251,31649.29999
162,162,2797,0.048559029,0.239999995,100.6299973,100.3899973,8.32928852,13.8820511,23297.01999
163,163,832,0.014444445,3.119999886,93.26000214,90.14000225,20.28885821,14.0951687,16880.33003
164,164,7522,0.13059028,0.050000001,49.04999924,48.99999924,0.999344588,2.53275848,7517.069993
165,165,11397,0.197864586,0,35.41999817,35.41999817,0.388289024,1.348415669,4425.330003
166,166,11797,0.204809031,0,21.06999969,21.06999969,0.266097313,0.756572966,3139.15
167,167,9070,0.15746528,0.039999999,21.5,21.46,0.263185226,0.837635481,2387.090004
168,168,8969,0.155711808,0.02,15.69999981,15.67999981,0.243255659,0.642975975,2181.760005
169,169,12244,0.212569448,0,18.5,18.5,0.294180007,0.842961981,3601.940005
170,170,9479,0.164565975,0.02,9.600000381,9.580000382,0.253215529,0.464118258,2400.230001
171,171,5914,0.102673613,0.059999999,58.56999969,58.5099997,1.223175513,4.061789209,7233.859984
172,172,9551,0.165815975,0.029999999,43.13999939,43.10999939,0.730396817,2.512004415,6976.020001
173,173,8116,0.14090278,0.039999999,22.46999931,22.42999931,0.302514786,0.973167377,2455.21
174,174,15262,0.264965282,0,30.38999939,30.38999939,0.454311362,1.553600075,6933.700003
175,175,17665,0.306684033,0.01,37.04000092,37.03000092,0.352949335,1.176157821,6234.850005
176,176,5010,0.086979168,0.230000004,117.9400024,117.7100024,8.866473046,13.0780201,44421.02996
177,177,2856,0.049583334,0.49000001,191.4100037,190.9200037,24.96603643,23.10829976,71303.00004
178,178,4648,0.080694446,0.100000001,41.88999939,41.78999939,2.036716868,3.437939796,9466.660005
179,179,5962,0.103506946,0.059999999,51.72000122,51.66000122,1.80425696,4.397032178,10756.98
180,180,6899,0.119774307,0.050000001,21.67000008,21.62000008,0.514996376,1.197702008,3552.959996
181,181,7216,0.12527778,0.129999995,85.66999817,85.53999817,4.683741686,7.787587856,33797.88001
182,182,10175,0.176649308,0,18.76000023,18.76000023,0.699152825,1.595904047,7113.879998
183,183,11747,0.203940975,0.01,25.95000076,25.94000076,0.439063591,1.138401986,5157.680001
184,184,9676,0.167986114,0.090000004,64.58999634,64.49999633,1.673985117,3.86223309,16197.47999
185,185,1338,0.023229167,0.280000001,79.45999908,79.17999908,6.524798201,11.41085008,8730.179993
186,186,6538,0.113506946,0.059999999,33.56999969,33.5099997,1.105393086,2.144515636,7227.059995
187,187,8240,0.143055558,0.079999998,142.6999969,142.619997,1.139208738,4.906615473,9387.080005
188,188,32632,0.566527787,0.039999999,29.20000076,29.16000076,0.237298052,0.686162082,7743.510017
189,189,31596,0.548541675,0.059999999,33.40000153,33.34000153,0.243691923,0.574241998,7699.690013
190,190,34662,0.601770843,0.059999999,15.43000031,15.37000031,0.237319255,0.382615363,8225.960011
191,191,9513,0.165156253,0.059999999,25.23999977,25.17999977,0.383416378,1.130266212,3647.440002
192,192,20857,0.3621007,0.07,50.91999817,50.84999817,0.415861821,1.934477006,8673.630002
193,193,16474,0.286006949,0.07,28.05999947,27.98999947,0.337896079,1.065684048,5566.500004
194,194,13727,0.238315976,0.059999999,80.27999878,80.21999878,0.607550813,2.812151522,8339.850004
195,195,20171,0.350190978,0.039999999,28.70000076,28.66000076,0.28009122,0.768413116,5649.720006
196,196,16602,0.288229171,0.07,22.86000061,22.79000061,0.249677148,0.536297394,4145.140003
197,197,11814,0.20510417,0.07,21.26000023,21.19000023,0.28202387,0.630205744,3331.830005
198,198,12487,0.216788198,0.059999999,12.14000034,12.08000034,0.232718027,0.357522659,2905.950005
199,199,29134,0.505798619,0.050000001,14.56000042,14.51000042,0.176859683,0.254159413,5152.630015
200,200,8285,0.143836808,0.079999998,5.25,5.170000002,0.198633676,0.161779382,1645.680002
201,201,24163,0.419496534,0.029999999,11.06999969,11.0399997,0.166034019,0.186534472,4011.880012
202,202,54000,0.937500015,0.029999999,26.53000069,26.50000069,0.165718704,0.318692618,8948.810029
203,203,26954,0.467951396,0.039999999,26.78000069,26.74000069,0.175801366,0.349776278,4738.550012
204,204,49011,0.85088543,0.039999999,34.02000046,33.98000046,0.217633185,0.763434076,10666.42002
205,205,14454,0.250937504,0.029999999,5.070000172,5.040000172,0.17207901,0.137446576,2487.230003
206,206,7886,0.136909724,0.090000004,68.30999756,68.21999756,1.621689068,5.220540639,12788.63999
207,207,7146,0.124062502,0.07,49.40000153,49.33000153,1.273858105,4.442490733,9102.990017
208,208,36587,0.635190982,0,18.56999969,18.56999969,0.228721131,0.405160342,8368.220012
209,209,45479,0.789565985,0,20.69000053,20.69000053,0.193207635,0.308741859,8786.890026
210,210,147207,2.555677124,0.01,42.13000107,42.12000107,0.21067001,0.598992167,31012.10009
211,211,155632,2.701944488,0,67.13999939,67.13999939,0.203872597,0.596475964,31729.10008
212,212,91630,1.590798637,0.02,34.97000122,34.95000122,0.189859326,0.439825322,17396.81006
213,213,347617,6.035017458,0,35.31999969,35.31999969,0.181088353,0.208759291,62949.39015
214,214,21003,0.364635423,0.050000001,49.27000046,49.22000046,0.524356046,2.089852255,11013.05002
215,215,82231,1.427621551,0,96.09999847,96.09999847,0.257914412,1.274260279,21208.56005
216,216,14187,0.246302087,0.090000004,67.66000366,67.57000366,1.355782053,5.014850393,19234.47998
217,217,9758,0.169409725,0.119999997,119.9599991,119.8399991,4.021575117,9.211261722,39242.52999
218,218,34044,0.591041676,0.059999999,130.3500061,130.2900061,0.737465045,4.242991685,25106.25998
219,219,18754,0.325590283,0.059999999,91.81999969,91.7599997,0.760466568,3.353519436,14261.79001
220,220,8753,0.151961808,0.079999998,17.29999924,17.21999924,0.278302296,0.405887769,2435.979998
221,221,2982,0.051770834,0.129999995,27.5,27.37,0.621257543,2.008312943,1852.589994
222,222,5356,0.092986113,0.07,7.809999943,7.739999942,0.269738611,0.408062289,1444.720001
223,223,5356,0.092986113,0.079999998,7.989999771,7.909999773,0.265937267,0.394597192,1424.36
224,224,5715,0.099218752,0.039999999,17.21999931,17.17999931,0.264643919,0.60817483,1512.439999
225,225,664,0.011527778,0.230000004,26,25.77,3.645030115,4.675753883,2420.299997
226,226,6631,0.11512153,0.07,9.859999657,9.789999656,0.332634595,0.459193569,2205.7
227,227,10870,0.188715281,0.07,29.56999969,29.49999969,0.357848206,0.827670259,3889.809997
228,228,9321,0.161822919,0.050000001,30.81999969,30.76999969,0.392196117,1.327019437,3655.660004
229,229,18659,0.323940977,0.039999999,26.45999908,26.41999909,0.22189292,0.499938956,4140.300002
230,230,15744,0.273333338,0.01,19.94000053,19.93000053,0.266512958,0.672663376,4195.980006
231,231,16420,0.285069449,0.039999999,12.14000034,12.10000034,0.187816078,0.337238507,3083.940006
232,232,7811,0.135607641,0.039999999,4.920000076,4.880000077,0.174653694,0.139286888,1364.220003
233,233,24305,0.421961812,0.039999999,10.64999962,10.60999962,0.206332442,0.298818083,5014.910008
234,234,30341,0.526753481,0.02,11.98999977,11.96999977,0.189616691,0.283681095,5753.160013
235,235,26325,0.457031257,0.050000001,48.11000061,48.06000061,0.358890408,1.614737952,9447.789997
236,236,10322,0.179201392,0.050000001,35.63999939,35.58999939,0.369605697,1.376037818,3815.070003
237,237,4904,0.08513889,0.079999998,34.63999939,34.55999939,0.412932301,1.437088796,2025.020002
238,238,6711,0.116510419,0.07,28.13999939,28.06999939,0.508927134,1.653544592,3415.409994
239,239,8479,0.147204863,0.07,11.23999977,11.16999977,0.312573417,0.467015758,2650.309999
240,240,12508,0.217152781,0.079999998,45.22000122,45.14000122,0.358954269,1.607507359,4489.799997
241,241,11176,0.194027781,0.02,10.07999992,10.05999992,0.203484252,0.276575905,2274.140004
242,242,10924,0.189652781,0.090000004,65.65000153,65.56000152,0.763781581,3.180465267,8343.549991
243,243,8470,0.147048613,0.059999999,29.21999931,29.15999931,0.309309327,0.967931046,2619.85
244,244,17160,0.297916671,0.07,257.75,257.68,1.331795452,8.659426983,22853.60996
245,245,22123,0.384079867,0.090000004,236.7799988,236.6899988,0.766034895,4.369382662,16946.98999
246,246,53932,0.936319459,0.059999999,112.9000015,112.8400015,0.374485278,1.28468447,20196.74001
247,247,14997,0.260364587,0.079999998,53.11000061,53.03000061,0.307769554,0.816799559,4615.619995
248,248,15317,0.265920143,0.119999997,51.97000122,51.85000122,0.535550695,1.363552905,8203.029991
249,249,5567,0.096649307,0.090000004,89.58000183,89.49000183,1.6888845,5.833362914,9402.020012
250,250,7599,0.131927085,0.07,40.54000092,40.47000092,0.314697988,1.30971075,2391.390008
251,251,20058,0.348229172,0.07,426.7200012,426.6500012,0.4029649,5.633788985,8082.669968
252,252,8961,0.155572919,0.050000001,23.36000061,23.31000061,0.387089611,1.055323402,3468.710001
253,253,9180,0.159375003,0.059999999,7.78000021,7.720000211,0.282784314,0.387440969,2595.960001
254,254,11110,0.192881948,0.050000001,29.59000015,29.54000015,0.278740774,1.020492345,3096.810001
255,255,32773,0.568975704,0.039999999,65.02999878,64.98999878,0.559383334,2.523189425,18332.67
256,256,11304,0.196250003,0.050000001,13.11999989,13.06999988,0.280493631,0.563357744,3170.700005
257,257,7271,0.126232641,0.059999999,6.369999886,6.309999887,0.21808417,0.254843337,1585.690003
258,258,29822,0.517743064,0.01,30.54999924,30.53999924,0.251779559,0.600325868,7508.570008
259,259,95521,1.658350721,0,22.70000076,22.70000076,0.187846547,0.284914013,17943.29004
260,260,32914,0.57142362,0.029999999,24.56999969,24.5399997,0.219508112,0.457318035,7224.890011
261,261,35418,0.614895843,0.059999999,73.68000031,73.62000031,0.492561692,2.545480358,17445.55001
262,262,25625,0.444878479,0,14.84000015,14.84000015,0.193019708,0.287257536,4946.130015
263,263,16434,0.285312505,0.050000001,11.93999958,11.88999958,0.216356335,0.275665326,3555.600008
264,264,17258,0.29961806,0.079999998,49.77999878,49.69999878,0.28057017,1.069866728,4842.080002
265,265,29751,0.516510425,0,13.21000004,13.21000004,0.22497227,0.357849499,6693.150012
266,266,125741,2.183003507,0,26.09000015,26.09000015,0.182318417,0.184894066,22924.90007
267,267,22098,0.383645839,0.050000001,102.8600006,102.8100006,0.559251969,2.710662547,12358.35
268,268,751,0.013038195,0.219999999,88.63999939,88.41999939,8.071810933,11.39727348,6061.930011
269,269,6470,0.112326391,0.07,82.61000061,82.54000061,3.418990726,5.466414621,22120.86999
270,270,9149,0.158836808,0.059999999,43.61999893,43.55999893,1.1249295,2.383242671,10291.97999
271,271,12265,0.212934031,0.639999986,297.2900085,296.6500086,16.04395597,11.34344584,196779.12
272,272,499,0.008663195,9.199999809,51.95000076,42.75000095,24.59807619,7.13695002,12274.44002
273,273,4734,0.082187501,0.150000006,42.79000092,42.64000091,2.231861005,4.475188484,10565.63
274,274,5780,0.100347224,1.210000038,58,56.78999996,11.918218,7.339825683,68887.30006
275,275,4531,0.078663196,0.370000005,50.22999954,49.85999954,5.061363942,5.396794091,22933.04002
