OID,FID_,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
0,0,2483,0.04310764,0.050000001,22.20000076,22.15000076,2.366109544,3.513834853,5875.049998
1,1,8735,0.151649308,0.039999999,53.79000092,53.75000092,0.538781912,1.544468784,4706.260004
2,2,9281,0.161128475,0,18.79000092,18.79000092,0.263108501,0.830456158,2441.91
3,3,12694,0.220381948,0,26.96999931,26.96999931,0.175589255,0.45145935,2228.93
4,4,10958,0.190243059,0,62.11999893,62.11999893,0.380711808,2.382294705,4171.839997
5,5,8965,0.155642364,0,26.03000069,26.03000069,0.434228667,1.455620987,3892.859999
6,6,7191,0.124843752,0.01,17.38999939,17.37999939,0.303518286,0.968490212,2182.599997
7,7,12974,0.225243059,0,32.18999863,32.18999863,0.175833976,0.696190189,2281.269998
8,8,10220,0.177430558,0,16.37999916,16.37999916,0.262936399,0.559321556,2687.209998
9,9,2209,0.038350695,0.479999989,54.11000061,53.63000062,7.701733809,9.287007246,17013.12998
10,10,8280,0.143750002,0.059999999,25.70000076,25.64000076,0.438318841,1.331924596,3629.28
11,11,13513,0.234600698,0.07,29.5,29.43,0.512261526,1.09322741,6922.189996
12,12,8847,0.153593752,0.039999999,10.22999954,10.18999954,0.417436419,0.603739304,3693.059998
13,13,12611,0.218940976,0.059999999,29.27000046,29.21000046,0.857163587,2.418044855,10809.69
14,14,11808,0.205000003,0.050000001,15.47999954,15.42999954,0.537763381,1.022738948,6349.910002
15,15,11529,0.200156253,0.07,21.90999985,21.83999985,0.37774395,0.862501584,4355.009999
16,16,12017,0.208628476,0.090000004,33.34999847,33.25999847,0.6531056,2.191977459,7848.369998
17,17,11245,0.195225698,0.02,23.03000069,23.01000069,0.653207648,1.832622988,7345.32
18,18,5771,0.100190974,0.059999999,24.47999954,24.41999954,0.592744758,1.444007573,3420.729999
19,19,8491,0.147413197,0.100000001,14.72999954,14.62999954,0.788785773,1.114894915,6697.580002
20,20,12885,0.22369792,0.029999999,32.40000153,32.37000153,0.457591774,1.587437306,5896.070004
21,21,13189,0.228975698,0.029999999,91.01999664,90.98999664,0.566714686,2.148430894,7474.399994
22,22,17421,0.302447922,0,15.75,15.75,0.178086792,0.517824581,3102.45
23,23,13872,0.240833337,0,22.23999977,22.23999977,0.51032079,1.62304092,7079.169997
24,24,6464,0.112222224,0,18.25,18.25,0.301027228,0.928551348,1945.839999
25,25,7948,0.137986113,0,17.28000069,17.28000069,0.084077755,0.474058356,668.2499988
26,26,7635,0.132552085,0,66.25,66.25,2.134159791,5.654745476,16294.31001
27,27,16701,0.289947921,0.02,201.9600067,201.9400067,0.451952579,3.017839821,7548.060023
28,28,10872,0.188750003,0.059999999,23.37000084,23.31000084,0.564356144,1.004990133,6135.679996
29,29,13121,0.227795143,0.029999999,20.14999962,20.11999962,0.360599802,1.081627817,4731.429998
30,30,8266,0.143506947,0.07,29.94000053,29.87000053,0.705246793,1.508593855,5829.569993
31,31,8708,0.151180558,0.029999999,31.23999977,31.20999977,0.646925815,1.883439375,5633.429994
32,32,9719,0.168732642,0.039999999,34.84999847,34.80999848,0.615603457,1.629423392,5983.050002
33,33,10780,0.187152781,0.050000001,28.23999977,28.18999977,0.463091837,1.216719522,4992.130002
34,34,10006,0.173715281,0.090000004,35.29000092,35.20000091,1.603354987,3.65816774,16043.17
35,35,3581,0.06217014,0.090000004,32.97000122,32.88000122,0.908014521,2.596206143,3251.599999
36,36,10270,0.178298614,0.050000001,22.86000061,22.81000061,0.452867576,1.300242911,4650.950005
37,37,10358,0.179826392,0.059999999,20.64999962,20.58999962,0.487843213,1.185362626,5053.080003
38,38,11041,0.191684031,0.050000001,54.75,54.7,0.70919663,2.081639491,7830.23999
39,39,13087,0.227204865,0.059999999,53.29999924,53.23999924,1.32182471,3.588488111,17298.71998
40,40,12497,0.216961809,0.02,43.95000076,43.93000076,1.450616947,4.278426492,18128.35998
41,41,12726,0.220937504,0.07,48.93999863,48.86999863,2.169233064,5.84774628,27605.65998
42,42,2847,0.049427084,0.310000002,66.91999817,66.60999817,15.6113523,13.23605085,44445.52001
43,43,1586,0.027534723,0.330000013,34.95999908,34.62999907,3.421979822,4.732252169,5427.259997
44,44,13504,0.234444448,0.090000004,932.1799927,932.0899927,1.585391729,15.93705453,21409.12991
45,45,5985,0.103906252,0.129999995,67.15000153,67.02000153,1.22880869,2.681979365,7354.420011
46,46,5789,0.100503474,0.189999998,38.15000153,37.96000153,2.53394887,3.795499451,14669.03001
47,47,11844,0.205625003,0,2.670000076,2.670000076,0.062597095,0.094787002,741.3999985
48,48,13380,0.23229167,0,10.68999958,10.68999958,0.135909566,0.335488867,1818.469994
49,49,8519,0.147899308,0,4.190000057,4.190000057,0.0893896,0.164000359,761.5099989
50,50,2900,0.050347223,0,24.15999985,24.15999985,1.151951725,2.886219865,3340.660002
51,51,11224,0.194861114,0,4.46999979,4.46999979,0.131197434,0.261698442,1472.559998
52,52,4513,0.078350696,0,2.829999924,2.829999924,0.074597828,0.161767803,336.6599986
53,53,20959,0.363871534,0.01,23.77000046,23.76000046,0.332785438,0.845198493,6974.849996
54,54,11123,0.193107642,0,15.47999954,15.47999954,0.222938056,0.755175852,2479.739998
55,55,21448,0.372361117,0,14.48999977,14.48999977,0.156229485,0.461413354,3350.809999
56,56,19506,0.338645839,0.02,27.93000031,27.91000031,0.61605711,1.685391542,12016.81
57,57,16313,0.28321181,0.029999999,19.45999908,19.42999909,0.308954208,0.879286682,5039.969999
58,58,11501,0.199670142,0,29.29999924,29.29999924,0.342256325,1.369544017,3936.289995
59,59,8126,0.141076391,0.090000004,46.25999832,46.16999832,1.927942407,3.54970713,15666.46
60,60,1653,0.028697917,0.529999971,291.980011,291.450011,11.09094979,16.14036999,18333.34
61,61,6753,0.117239585,0.079999998,10.52000046,10.44000046,0.466474159,0.756990361,3150.099998
62,62,11793,0.204739587,0.079999998,20.87999916,20.79999916,0.41564657,0.932986546,4901.720001
63,63,10426,0.181006947,0.079999998,10.89000034,10.81000035,0.365702091,0.519303448,3812.810001
64,64,10641,0.184739586,0.100000001,10.67000008,10.57000007,0.569118504,0.634586499,6055.989998
65,65,16492,0.286319449,0.090000004,44.04000092,43.95000091,1.333851563,3.303616893,21997.87998
66,66,5627,0.097690974,0.07,35.38000107,35.31000107,1.848894617,3.307348616,10403.73001
67,67,4971,0.086302085,0.189999998,35.27999878,35.08999878,1.87622611,3.386571643,9326.719995
68,68,6864,0.119166669,0.02,58.43000031,58.41000031,0.633403263,2.123458754,4347.679999
69,69,6101,0.105920141,0.100000001,94.23999786,94.13999786,3.708688741,6.110164727,22626.71001
70,70,11616,0.20166667,0,29.55999947,29.55999947,0.483776686,1.587651353,5619.54999
71,71,4746,0.082395835,0,4.599999905,4.599999905,0.136253687,0.239907092,646.6599996
72,72,10964,0.190347225,0,38.06000137,38.06000137,0.287510032,1.392534503,3152.259996
73,73,5750,0.09982639,0,19.70000076,19.70000076,0.248612174,1.09431,1429.519998
