OID,FID_,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
0,0,2483,0.04310764,0,64.94000244,64.94000244,4.441590816,8.00917811,11028.47
1,1,8735,0.151649308,0,47.27000046,47.27000046,0.75117115,2.493036427,6561.479999
2,2,9281,0.161128475,0,23.45000076,23.45000076,0.28875229,1.367874826,2679.910006
3,3,12694,0.220381948,0,21.70000076,21.70000076,0.14692138,0.753864634,1865.019999
4,4,10958,0.190243059,0,72.40000153,72.40000153,0.228025187,1.646448179,2498.7
5,5,8965,0.155642364,0,36.77999878,36.77999878,0.561718907,2.455468254,5035.810003
6,6,7191,0.124843752,0,15.22000027,15.22000027,0.366268947,1.04593028,2633.839996
7,7,12974,0.225243059,0,123.6900024,123.6900024,0.117160475,1.648467028,1520.040005
8,8,10220,0.177430558,0,10.73999977,10.73999977,0.215328767,0.554076425,2200.659998
9,9,2209,0.038350695,0.360000014,110.4899979,110.1299978,13.25076052,14.3750911,29270.92999
10,10,8280,0.143750002,0,25.19000053,25.19000053,0.297702898,1.212563056,2464.979998
11,11,13513,0.234600698,0,47.75,47.75,0.627088729,2.599083091,8473.84999
12,12,8847,0.153593752,0,53.63000107,53.63000107,0.514642252,2.313903451,4553.040001
13,13,12611,0.218940976,0,40.22000122,40.22000122,1.105227974,3.492550087,13938.02999
14,14,11808,0.205000003,0,28.5,28.5,0.4637771,1.463994472,5476.279996
15,15,11529,0.200156253,0,28.56999969,28.56999969,0.471545667,1.441169812,5436.449999
16,16,12017,0.208628476,0,99.05999756,99.05999756,0.888552883,4.450995083,10677.73999
17,17,11245,0.195225698,0,46.33000183,46.33000183,0.943706537,3.881137572,10611.98001
18,18,5771,0.100190974,0,41.70999908,41.70999908,0.95492289,3.091005717,5510.860001
19,19,8491,0.147413197,0,46.04000092,46.04000092,1.450634789,3.580090796,12317.33999
20,20,12885,0.22369792,0,61.36000061,61.36000061,0.782837407,3.731626908,10086.85999
21,21,13189,0.228975698,0,52.63000107,52.63000107,0.785749487,2.577844645,10363.24998
22,22,17421,0.302447922,0,36.38999939,36.38999939,0.142449342,0.887128358,2481.609994
23,23,13872,0.240833337,0,62.33000183,62.33000183,0.537024942,2.617115723,7449.60999
24,24,6464,0.112222224,0,28.69000053,28.69000053,0.378140471,1.638240508,2444.300002
25,25,7948,0.137986113,0,14.42000008,14.42000008,0.056469552,0.52208521,448.82
26,26,7635,0.132552085,0,93.26000214,93.26000214,3.0884296,9.035631176,23580.16
27,27,16701,0.289947921,0,23.40999985,23.40999985,0.252935752,1.2454143,4224.279995
28,28,10872,0.188750003,0,32,32,0.563293783,1.843451744,6124.130007
29,29,13121,0.227795143,0,130.6199951,130.6199951,0.651086807,4.749432636,8542.91
30,30,8266,0.143506947,0,46.68000031,46.68000031,0.861531576,2.657838606,7121.420004
31,31,8708,0.151180558,0,57.27000046,57.27000046,0.896485989,3.863484502,7806.599995
32,32,9719,0.168732642,0,80.15000153,80.15000153,0.789519499,3.666552588,7673.340007
33,33,10780,0.187152781,0,32.93000031,32.93000031,0.596620593,2.279925199,6431.569994
34,34,10006,0.173715281,0.01,56.95999908,56.94999908,2.398224065,6.542660091,23996.62999
35,35,3581,0.06217014,0,64.12000275,64.12000275,1.669698413,5.0125352,5979.190016
36,36,10270,0.178298614,0,60.90999985,60.90999985,1.028205453,3.533447808,10559.67
37,37,10358,0.179826392,0,60.72999954,60.72999954,1.014862907,3.550849242,10511.94999
38,38,11041,0.191684031,0,61.20999908,61.20999908,0.683410017,2.97082999,7545.530002
39,39,13087,0.227204865,0,93.52999878,93.52999878,1.61781004,5.676007765,21172.28
40,40,12497,0.216961809,0,81.88999939,81.88999939,2.133895333,6.929816636,26667.28998
41,41,12726,0.220937504,0,104.9000015,104.9000015,3.342690557,9.06095514,42539.08003
42,42,2847,0.049427084,0.079999998,102.5,102.42,19.79824377,17.80809452,56365.60001
43,43,1586,0.027534723,0.159999996,65.62000275,65.46000275,5.346696098,8.339946388,8479.860011
44,44,13504,0.234444448,0,98.61000061,98.61000061,0.942824348,3.488966862,12731.89999
45,45,5985,0.103906252,0,57.09000015,57.09000015,0.815208018,2.236205293,4879.019986
46,46,5789,0.100503474,0.01,65.94000244,65.93000244,2.822356193,5.664499726,16338.62
47,47,11844,0.205625003,0,10.18999958,10.18999958,0.038086795,0.293706855,451.1000014
48,48,13380,0.23229167,0,21.01000023,21.01000023,0.114586697,0.541382085,1533.170001
49,49,8519,0.147899308,0,13.11999989,13.11999989,0.078191102,0.525320558,666.1099985
50,50,2900,0.050347223,0,29.15999985,29.15999985,1.166410347,3.053856434,3382.590005
51,51,11224,0.194861114,0,9.079999924,9.079999924,0.080436564,0.419275848,902.8199994
52,52,4513,0.078350696,0,6.019999981,6.019999981,0.044039442,0.271991066,198.7499998
53,53,20959,0.363871534,0,62.29000092,62.29000092,0.35921752,2.334289359,7528.839993
54,54,11123,0.193107642,0,36.43999863,36.43999863,0.219599028,1.68870313,2442.59999
55,55,21448,0.372361117,0,30.62999916,30.62999916,0.157189015,1.106856359,3371.389996
56,56,19506,0.338645839,0,81.79000092,81.79000092,0.882853994,2.984603946,17220.95
57,57,16313,0.28321181,0,19.12999916,19.12999916,0.241081959,1.043405165,3932.769994
58,58,11501,0.199670142,0,39.77000046,39.77000046,0.492167638,2.17120564,5660.42
59,59,8126,0.141076391,0,82.88999939,82.88999939,2.545718685,5.743611934,20686.51003
60,60,1653,0.028697917,0.370000005,98.68000031,98.3100003,12.53120995,14.54045911,20714.09005
61,61,6753,0.117239585,0,23.63999939,23.63999939,0.61304161,2.02218198,4139.869993
62,62,11793,0.204739587,0,18.27000046,18.27000046,0.277908081,1.070705871,3277.369996
63,63,10426,0.181006947,0,34.63999939,34.63999939,0.262964703,1.32576641,2741.669998
64,64,10641,0.184739586,0,16.03000069,16.03000069,0.424737337,0.989289962,4519.630002
65,65,16492,0.286319449,0,78.93000031,78.93000031,1.427581857,5.203127344,23543.67999
66,66,5627,0.097690974,0,660.0800171,660.0800171,3.185205261,13.53173082,17923.15
67,67,4971,0.086302085,0.059999999,47.22000122,47.16000122,2.56665057,4.886023673,12758.81998
68,68,6864,0.119166669,0,35,35,0.883699008,2.86480503,6065.70999
69,69,6101,0.105920141,0.01,119,118.99,5.301906244,9.12321397,32346.93
70,70,11616,0.20166667,0,47.79000092,47.79000092,0.502057507,2.241054651,5831.899998
71,71,4746,0.082395835,0,17.52000046,17.52000046,0.114728193,0.801255672,544.5000019
72,72,10964,0.190347225,0,49.97999954,49.97999954,0.215718716,1.713871807,2365.14
73,73,5750,0.09982639,0,14.15999985,14.15999985,0.158055652,0.862760269,908.8200002
74,74,6127,0.106371529,0,43.41999817,43.41999817,0.607814592,2.604534395,3724.080004
75,75,13113,0.227656254,0,45.11999893,45.11999893,0.510811408,2.842922843,6698.26999
76,76,14321,0.248628476,0,31.09000015,31.09000015,0.63709308,2.209393335,9123.809992
77,77,8260,0.14340278,0.349999994,218.0299988,217.6799988,24.91061017,18.14684526,205761.64
78,78,8204,0.142430558,0.02,105.6900024,105.6700024,4.483117993,8.298671798,36779.50001
79,79,6130,0.106423613,0.340000004,318.9500122,318.6100122,7.580412729,13.46389124,46467.93003
80,80,12372,0.21479167,0,81.95999908,81.95999908,2.283149046,5.778406681,28247.11999
81,81,13019,0.226024309,0,52.06999969,52.06999969,1.021173668,3.751174732,13294.65999
82,82,8608,0.149444447,0,49.11000061,49.11000061,0.833636153,3.479958962,7175.940003
83,83,13490,0.234201393,0,150.9400024,150.9400024,1.186616013,5.098131365,16007.45002
84,84,5787,0.100468752,0,38.58000183,38.58000183,1.596564714,4.016313122,9239.319998
85,85,6018,0.104479168,0.300000012,288.2799988,287.9799988,9.325282489,18.56553844,56119.55002
86,86,5770,0.100173613,0.730000019,100.3799973,99.64999723,8.553145586,10.75931832,49351.65003
87,87,12276,0.213125003,0,82.65000153,82.65000153,0.607561909,2.79438945,7458.429993
88,88,13758,0.23885417,0,47.79000092,47.79000092,2.462289578,4.872613977,33876.18001
89,89,5074,0.088090279,0,57.25,57.25,2.092037843,5.211637904,10615.00001
90,90,7616,0.132222224,0,142.9600067,142.9600067,1.609357929,5.481876112,12256.86999
91,91,18066,0.313645838,0,16.05999947,16.05999947,0.033182221,0.333738154,599.4699988
92,92,4986,0.086562501,0,94.34999847,94.34999847,6.858399513,6.222296861,34195.97997
93,93,7629,0.132447919,0,36.02000046,36.02000046,1.034737187,3.09463576,7894.009999
94,94,8160,0.141666669,0,47.72999954,47.72999954,0.616417891,2.494610635,5029.969989
95,95,15536,0.269722227,0,33.86999893,33.86999893,0.189963954,1.161828835,2951.279996
96,96,22353,0.388072923,0,45.77000046,45.77000046,0.1260918,1.034113526,2818.530003
97,97,15769,0.273767365,0,33.72999954,33.72999954,0.539452723,1.91126944,8506.629989
98,98,12532,0.217569448,0,64.51000214,64.51000214,0.752315672,3.227901137,9428.019998
99,99,10472,0.181805558,0,126.0199966,126.0199966,4.180090719,9.504050129,43773.91001
100,100,17068,0.296319449,0,66.97000122,66.97000122,0.704022146,2.553893556,12016.24998
101,101,21808,0.378611117,0,138.3300018,138.3300018,0.380746514,3.456911906,8303.319974
102,102,10170,0.176562503,0,72.27999878,72.27999878,0.427582104,2.618360125,4348.509994
103,103,13898,0.241284726,0,88.56999969,88.56999969,0.312640668,2.259558278,4345.080007
104,104,21024,0.365000006,0,25.81999969,25.81999969,0.074395928,0.561058545,1564.099994
105,105,12858,0.22322917,0,66.80000305,66.80000305,0.396155702,2.4937096,5093.770012
106,106,14626,0.253923615,0,44.61999893,44.61999893,0.522717763,1.996084987,7645.270006
107,107,5830,0.101215279,0,27.18000031,27.18000031,0.737885076,2.219401901,4301.869991
108,108,16243,0.281996532,0,45.93000031,45.93000031,0.208138275,1.430283769,3380.789996
109,109,7225,0.12543403,0,70.31999969,70.31999969,1.183223529,4.559196522,8548.789998
110,110,8632,0.149861114,0,53.75999832,53.75999832,0.546855884,2.56417095,4720.459992
111,111,18853,0.327309033,0,27.07999992,27.07999992,0.407548931,1.801530626,7683.520003
112,112,15406,0.267465282,0,34,34,0.153516812,1.029796286,2365.079999
113,113,16223,0.28164931,0,23.06999969,23.06999969,0.100909819,0.792746914,1637.059999
