OID,FID_,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
0,0,2483,0.04310764,0.059999999,74.02999878,73.96999878,3.005614177,5.758545179,7462.940003
1,1,8735,0.151649308,0,35.02999878,35.02999878,0.548105323,1.756771372,4787.699996
2,2,9281,0.161128475,0,12.81000042,12.81000042,0.261692705,0.787216996,2428.769998
3,3,12694,0.220381948,0,16.17000008,16.17000008,0.192758784,0.410459569,2446.879998
4,4,10958,0.190243059,0,14.18000031,14.18000031,0.193981566,0.524555959,2125.650001
5,5,8965,0.155642364,0,23.87999916,23.87999916,0.493167875,1.704609311,4421.249999
6,6,7191,0.124843752,0,9.520000458,9.520000458,0.226356557,0.600704353,1627.730002
7,7,12974,0.225243059,0,10.5,10.5,0.223628796,0.475006038,2901.360001
8,8,10220,0.177430558,0.01,4.869999886,4.859999886,0.229958904,0.309656615,2350.179999
9,9,2209,0.038350695,0.5,50.25999832,49.75999832,8.182213661,8.453456346,18074.50998
10,10,8280,0.143750002,0,23.28000069,23.28000069,0.462887681,1.225709101,3832.709999
11,11,13513,0.234600698,0,22.71999931,22.71999931,0.489434618,0.991923765,6613.729998
12,12,8847,0.153593752,0,14.51000023,14.51000023,0.429391884,0.852285152,3798.830002
13,13,12611,0.218940976,0.090000004,34.74000168,34.65000167,0.98056538,2.605215758,12365.91
14,14,11808,0.205000003,0.090000004,14.86999989,14.77999988,0.490814702,0.958910872,5795.539999
15,15,11529,0.200156253,0.059999999,13.75,13.69,0.391033914,0.689294256,4508.229996
16,16,12017,0.208628476,0.059999999,32.04000092,31.98000092,0.589983356,1.93763343,7089.829992
17,17,11245,0.195225698,0.029999999,28.40999985,28.37999985,0.742005336,2.369420093,8343.850004
18,18,5771,0.100190974,0.01,29.43000031,29.42000031,0.682710103,1.613093335,3939.920002
19,19,8491,0.147413197,0.039999999,17.23999977,17.19999977,0.923092686,1.690680686,7837.979997
20,20,12885,0.22369792,0.01,37.29000092,37.28000092,0.496065193,1.775463195,6391.80001
21,21,13189,0.228975698,0,31.81999969,31.81999969,0.536568352,1.480864499,7076.799995
22,22,17421,0.302447922,0,12.85000038,12.85000038,0.193452729,0.422881945,3370.14
23,23,13872,0.240833337,0,30.45000076,30.45000076,0.523370818,1.699730974,7260.199991
24,24,6464,0.112222224,0,22.62000084,22.62000084,0.351455755,1.167608042,2271.809999
25,25,7948,0.137986113,0,10.88000011,10.88000011,0.135611475,0.368989415,1077.84
26,26,7635,0.132552085,0.01,60.43000031,60.42000031,2.117181403,5.30556998,16164.68001
27,27,16701,0.289947921,0,78.69999695,78.69999695,0.434381174,1.840998342,7254.599991
28,28,10872,0.188750003,0,13.98999977,13.98999977,0.52169702,0.798358046,5671.889998
29,29,13121,0.227795143,0,21.25,21.25,0.381134822,1.194277427,5000.870001
30,30,8266,0.143506947,0.07,21.59000015,21.52000015,0.709339462,1.497133069,5863.399996
31,31,8708,0.151180558,0.02,28.31999969,28.2999997,0.698043178,1.991531101,6078.559993
32,32,9719,0.168732642,0.029999999,56.43999863,56.40999863,0.800182117,2.837619015,7776.969991
33,33,10780,0.187152781,0.059999999,27.70999908,27.64999909,0.529672541,1.383171378,5709.869996
34,34,10006,0.173715281,0.119999997,52.68000031,52.56000031,1.812955228,4.149158664,18140.43001
35,35,3581,0.06217014,0.109999999,36.43999863,36.32999863,1.23984641,3.524591062,4439.889995
36,36,10270,0.178298614,0.059999999,20.81999969,20.7599997,0.486149951,1.290536495,4992.759994
37,37,10358,0.179826392,0.100000001,19.80999947,19.70999946,0.569122418,1.35084137,5894.970003
38,38,11041,0.191684031,0.029999999,29.20000076,29.17000076,0.675689701,1.41950514,7460.28999
39,39,13087,0.227204865,0.029999999,40.16999817,40.13999817,1.23265225,3.051507339,16131.72
40,40,12497,0.216961809,0,41.88999939,41.88999939,1.638728494,4.71870283,20479.18999
41,41,12726,0.220937504,0.02,77.55999756,77.53999756,2.591324057,6.946034988,32977.18995
42,42,2847,0.049427084,0.209999993,64.94999695,64.73999695,16.91638214,14.07300835,48160.93994
43,43,1586,0.027534723,0.360000014,27.45000076,27.09000075,4.43023329,5.092005922,7026.349998
44,44,13504,0.234444448,0.01,41.09000015,41.08000015,1.027727339,2.092534333,13878.42999
45,45,5985,0.103906252,0.129999995,41.99000168,41.86000168,1.039834587,1.746567313,6223.410001
46,46,5789,0.100503474,0.150000006,39.79999924,39.64999923,2.764544826,3.969659472,16003.95
47,47,11844,0.205625003,0,8.289999962,8.289999962,0.132950017,0.239990102,1574.66
48,48,13380,0.23229167,0,16.23999977,16.23999977,0.243275785,0.649847314,3255.029997
49,49,8519,0.147899308,0,7.619999886,7.619999886,0.153482803,0.33098766,1307.519999
50,50,2900,0.050347223,0,24.95000076,24.95000076,1.171079311,2.747390814,3396.130003
51,51,11224,0.194861114,0,10.19999981,10.19999981,0.17847737,0.321194546,2003.229999
52,52,4513,0.078350696,0,4.320000172,4.320000172,0.107115001,0.161463942,483.4100001
53,53,20959,0.363871534,0,20.26000023,20.26000023,0.361315902,0.849757761,7572.819997
